date,ticker,time_frame,buy_zones,cut_losses,take_profit,risk,recommendation,buy_now
2021-04-06,EOG,4-8,74|72|70,65.13,83.68|92.58,7,buy on dip,True
2021-04-06,GBX,4-8,46|45|44,42.61,52.86|57.51,7,buy now and on dip,True
2021-04-06,PLUG,4-8,35|32|28,24.75,47.48|58.08,9,buy now,True
2021-04-06,DKS,5-10,77|75|73,69.08,88.04|92.85,7,buy now,True
2021-04-06,PLTR,4-8,22|21|20,18.74,22.58|28.80|36.04,7,buy now,True
2021-04-06,GPC,4-8,115|114|113,110.96,124.01|31.86,6,buy now,True
2021-04-06,SEAS,6-12,50|49|48,44.64,57.88|65.98,6,buy now,True
2021-04-06,SPCE,5-10,30|28|26,22.81,44.20|52.17|73.90,8,buy now,True
2021-04-06,C,4-8,73|71|69,67.88,79.14|84.62,6,buy now,True
2021-04-06,CRON,5-10,10|9|8,6.69,11.61|13.17|18.37,8,buy now,True
